PG,SG,SF,PF,C,G,F,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF,James Michael McAdoo (6123765),James Michael McAdoo,6123765,3000,GS@NY 07:30PM ET,GS,
,,,,,,,,,SF,Maurice Harkless (6123730),Maurice Harkless,6123730,3000,Min@Por 09:00PM ET,Por,
,,,,,,,,,PF,Jarnell Stokes (6123740),Jarnell Stokes,6123740,3000,Atl@Mia 06:00PM ET,Mia,
,,,,,,,,,SG,R.J. Hunter (6123671),R.J. Hunter,6123671,3000,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,SF,Justin Anderson (6123726),Justin Anderson,6123726,3000,Pho@Dal 07:00PM ET,Dal,
,,,,,,,,,SF,Cleanthony Early (6123719),Cleanthony Early,6123719,3000,GS@NY 07:30PM ET,NY,
,,,,,,,,,PF,Jordan Mickey (6123759),Jordan Mickey,6123759,3000,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,PG,Terry Rozier (6123632),Terry Rozier,6123632,3000,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,SG,James Young (6123672),James Young,6123672,3000,Bos@Orl 06:00PM ET,Bos,
,,,,,,,,,PG,Aaron Harrison (6123619),Aaron Harrison,6123619,3000,Cha@LAL 09:30PM ET,Cha,
,,,,,,,,,SF,Thanasis Antetokounmpo (6123720),Thanasis Antetokounmpo,6123720,3000,GS@NY 07:30PM ET,NY,
,,,,,,,,,C,Walter Tavares (6123785),Walter Tavares,6123785,3000,Atl@Mia 06:00PM ET,Atl,
,,,,,,,,,SF,Damjan Rudez (6123732),Damjan Rudez,6123732,3000,Min@Por 09:00PM ET,Min,
,,,,,,,,,C,Cristiano Felicio (6123797),Cristiano Felicio,6123797,3000,Chi@LAC 03:30PM ET,Chi,
,,,,,,,,,SG,Mario Hezonja (6123673),Mario Hezonja,6123673,3000,Bos@Orl 06:00PM ET,Orl,
,,,,,,,,,PG,Tyus Jones (6123648),Tyus Jones,6123648,3000,Min@Por 09:00PM ET,Min,
,,,,,,,,,PF,Cliff Alexander (6123779),Cliff Alexander,6123779,3000,Min@Por 09:00PM ET,Por,
,,,,,,,,,PF,Kevon Looney (6123766),Kevon Looney,6123766,3000,GS@NY 07:30PM ET,GS,
,,,,,,,,,SF,Luis Montero (6123733),Luis Montero,6123733,3000,Min@Por 09:00PM ET,Por,
