C,C,W,W,W,D,D,G,UTIL,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,D,Kevin Klein (6180782),Kevin Klein,6180782,3300,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,LW,Colin Wilson (6180690),Colin Wilson,6180690,3300,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,D,Jason Garrison (6180831),Jason Garrison,6180831,3300,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,LW,Micheal Ferland (6180706),Micheal Ferland,6180706,3300,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,C,Andrej Nestrasil (6180582),Andrej Nestrasil,6180582,3300,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,LW,Tanner Pearson (6180668),Tanner Pearson,6180668,3300,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,C,Robby Fabbri (6180631),Robby Fabbri,6180631,3300,StL@Fla 07:30PM ET,StL,
,,,,,,,,,,LW,Tomas Fleischmann (6180646),Tomas Fleischmann,6180646,3200,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,C,Brad Richardson (6180636),Brad Richardson,6180636,3200,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,D,Cody Franson (6180767),Cody Franson,6180767,3200,Mon@Buf 07:00PM ET,Buf,
,,,,,,,,,,D,Ian Cole (6180798),Ian Cole,6180798,3200,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,D,Zach Bogosian (6180769),Zach Bogosian,6180769,3200,Mon@Buf 07:00PM ET,Buf,
,,,,,,,,,,LW,Dwight King (6180663),Dwight King,6180663,3200,LA@NYR 07:00PM ET,LA,
,,,,,,,,,,C,Zemgus Girgensons (6180558),Zemgus Girgensons,6180558,3200,Mon@Buf 07:00PM ET,Buf,
,,,,,,,,,,LW,Jordan Martinook (6180708),Jordan Martinook,6180708,3200,Cgy@Ari 09:00PM ET,Ari,
,,,,,,,,,,D,Noah Hanifin (6180808),Noah Hanifin,6180808,3200,Pit@Car 07:00PM ET,Car,
,,,,,,,,,,RW,Eric Fehr (6180724),Eric Fehr,6180724,3100,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,C,Lars Eller (6180551),Lars Eller,6180551,3100,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,D,Ben Lovejoy (6180799),Ben Lovejoy,6180799,3100,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,C,Nick Bonino (6180580),Nick Bonino,6180580,3100,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,RW,Jesper Fast (6180722),Jesper Fast,6180722,3100,LA@NYR 07:00PM ET,NYR,
,,,,,,,,,,D,Nathan Beaulieu (6180775),Nathan Beaulieu,6180775,3100,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,RW,J.T. Brown (6180745),J.T. Brown,6180745,3100,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,D,Derrick Pouliot (6180804),Derrick Pouliot,6180804,3100,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,LW,Daniel Carr (6180657),Daniel Carr,6180657,3100,Mon@Buf 07:00PM ET,Mon,
,,,,,,,,,,C,Darren Helm (6180591),Darren Helm,6180591,3000,Col@Det 07:30PM ET,Det,
,,,,,,,,,,C,Joe Colborne (6180639),Joe Colborne,6180639,3000,Cgy@Ari 09:00PM ET,Cgy,
,,,,,,,,,,LW,Teemu Pulkkinen (6180686),Teemu Pulkkinen,6180686,3000,Col@Det 07:30PM ET,Det,
,,,,,,,,,,D,Brian Dumoulin (6180803),Brian Dumoulin,6180803,3000,Pit@Car 07:00PM ET,Pit,
,,,,,,,,,,C,Jonathan Marchessault (6180613),Jonathan Marchessault,6180613,3000,Nsh@TB 07:30PM ET,TB,
,,,,,,,,,,C,Mikhail Grigorenko (6180598),Mikhail Grigorenko,6180598,3000,Col@Det 07:30PM ET,Col,
,,,,,,,,,,LW,Viktor Arvidsson (6180696),Viktor Arvidsson,6180696,3000,Nsh@TB 07:30PM ET,Nsh,
,,,,,,,,,,C,Matt Cullen (6180572),Matt Cullen,6180572,2900,Pit@Car 07:00PM ET,Pit,
